Random Reading Sequence,Title,Author,List Mentions,Original Order,Reading/Read
,Notebooks,Leonardo da Vinci,5,157,
,Njals Saga,,5,158,
,Pride and Prejudice,Jane Austen,30,159,
,Madame Bovary,Gustave Flaubert,29,160,
,Gulliver's Travels,Jonathan Swift,29,161,
,Faust,Johann Wolfgang von Goethe,26,162,
,Moby-Dick,Herman Melville,26,163,
,Paradise Lost,John Milton,25,164,
,War and Peace,Leo Tolstoy,24,165,
,The Origin of Species,Charles Darwin,23,166,
,The Brothers Karamozov,Fyodor Dostoevsky,23,167,
,The Decline and Fall of the Roman Empire,Edward Gibbon,23,168,
,Huckleberry Finn,Mark Twain,23,169,
,Crime and Punishment,Fyodor Dostoevsky,22,170,
,Middlemarch,George Eliot,22,171,
,Candide,Voltaire,22,172,
,The Life of Samuel Johnson,James Boswell,21,173,
,Robinson Crusoe,Daniel Defoe,21,174,
,The Scarlet Letter,Nathaniel Hawthorne,21,175,
,Thoughts,Blaise Pascal,20,176,
,Walden,Henry David Thoreau,20,177,
,Leaves of Grass,Walt Whitman,20,178,
,Tom Jones,Henry Fielding,19,179,
,The Pilgrim's Progress,John Bunyan,18,180,
,Les Miserables,Victor Hugo,18,181,
,The Red and the Black,Stendhal,18,182,
,Vanity Fair,William Makepeace Thackeray,18,183,
,Wuthering Heights,Emily Brontë,17,184,
,Alice's Adventures in Wonderland,Lewis Carroll,17,185,
,Discourse on the Method,René Descartes,17,186,
,The Social Contract,Jean-Jacques Rousseau,17,187,
,Jane Eyre,Charlotte Brontë,16,188,
,Heart of Darkness,Joseph Conrad,16,189,
,Leviathan,Thomas Hobbes,16,190,
,On Liberty,John Stuart Mill,16,191,
,David Copperfield,Charles Dickens,15,192,
,Great Expectations,Charles Dickens,15,193,
,The Interpretation of Dreams,Sigmund Freud,15,194,
,Thus Spake Zarathustra,Friedrich Nietzsche,15,195,
,Ethics,Baruch Spinoza,15,196,
,Anna Karenina,Leo Tolstoy,15,197,
,Father Goriot,Honoré de Balzac,14,198,
,The Pickwick Papers,Charles Dickens,14,199,
,The Portrait of a Lady,Henry James,14,200,
,A Doll's House,Henrik Ibsen,14,201,
,Tartuffe,Molière,14,202,
,Confessions,Jean-Jacques Rousseau,14,203,
,Tristram Shandy,Laurence Sterne,14,204,
,Tess of the d'Urbervilles,Thomas Hardy,13,205,
,The Communist Manifesto,Karl Marx and Friedrich Engels,13,206,
,The Wealth of Nations,Adam Smith,13,207,
,Essays,Francis Bacon,12,208,
,Critique of Pure Reason,Immanuel Kant,12,209,
,Capital,Karl Marx,12,210,
,Areopagitica,John Milton,12,211,
,The Misanthrope,Moliére,12,212,
,The Charterhouse of Parma,Stendhal,12,213,
,Democracy in America,Alexis de Tocqueville,12,214,
,Emma,Jane Austen,11,215,
,Songs of Innocence and Experience,William Blake,11,216,
,Idiot,Fyodor Dostoevsky,11,217,
,Dead Souls,Nikolai Gogol,11,218,
,The Federalist Papers,Alexander Hamilton; John Jay; James Madison,11,219,
,Phedre,Jean Racine,11,220,
,Fathers and Children,Ivan Turgenev,11,221,
,"Through the Looking-Glass,  and What Alice Found There",Lewis Carroll,10,222,
,Uncle Vanya,Anton Chekhov,10,223,
,An Enquiry Concerning Human Understanding,David Hume,10,224,
,Hedda Gabler,Henrik Ibsen,10,225,
,The Ambassadors,Henry James,10,226,
,Frankenstein,Mary Shelley,10,227,
,Germinal,Émile Zola,10,228,
,Reflections on the Revolution in France,Edmund Burke,9,229,
,Demons,Fyodor Dostoevsky,9,230,
,The Red Badge of Courage,Stephen Crane,9,231,
,Oliver Twist,Charles Dickens,9,232,
,Essays,Ralph Waldo Emerson,9,233,
,The Turn of the Screw,Henry James,9,234,
,An Essay Concerning Human Understanding,John Locke,9,235,
,Billy Budd,Herman Melville,9,236,
,Mathematical Principles of Natural Philosophy,Isaac Newton,9,237,
,The Prelude,William Wordsworth,9,238,
,Don Juan,Lord Byron,8,239,
,Life Is a Dream,Pedro Calderón de la Barca,8,240,
,Three Sisters,Anton Chekhov,8,241,
,The Cherry Orchard,Anton Chekhov,8,242,
,A Tale of Two Cities,Charles Dickens,8,243,
,Sentimental Education,Gustave Flaubert,8,244,
,Dialogue Concerning the Two Chief World Systems,Galileo,8,245,
,The Return of the Native,Thomas Hardy,8,246,
,The Wild Duck,Henrik Ibsen,8,247,
,Pragmatism,William James,8,248,
,The Alchemist,Ben Jonson,8,249,
,The Rubaiyat of Omar Khayyam,Omar Khayyam,8,250,
